"","2020-04-29","2020-04-28","2020-04-27"
"1",190.58,187.72,192.23
"2",190.64,187.88,192.22
"3",190.47,188.42,193.26
"4",191.42,188.63,192.88
"5",191.52,189.12,192
"6",191.93,188.41,191.94
"7",192.54,187.95,192.58
"8",191.59,187.37,192.45
"9",191.92,187.96,192.32
"10",191.89,188.22,192.39
"11",192.33,187.88,192.61
"12",191.86,187.74,192.78
"13",191.92,187.555,193.42
"14",192.19,187.73,192.96
"15",192.98,187.64,192.72
"16",193.37,187.73,193.11
"17",193.49,187.48,193.1
"18",194.11,187.22,193.16
"19",194.06,186.85,193.24
"20",194.29,187.07,193.53
"21",194.53,186.96,193.4
"22",194.67,186.92,193.32
"23",194.1,187.1,193.3
"24",194.24,187.41,193.19
"25",193.64,187.49,193.05
"26",193.54,187.23,192.7
"27",194.03,187.5,192.78
"28",194.48,187.57,192.77
"29",194.69,187.62,193.01
"30",194.88,187.57,192.91
"31",194.69,187.48,192.7
"32",194.14,187.05,192.66
"33",193.64,187.43,192.88
"34",193.76,187.35,192.79
"35",193.69,187.75,192.81
"36",193.56,187.9,192.57
"37",193.55,187.83,192.47
"38",193.52,187.81,192.58
"39",193.82,187.37,192.63
"40",193.68,187.11,192.77
"41",193.85,187.04,192.78
"42",193.69,187.19,192.68
"43",193.99,187.35,192.7
"44",194,187.04,192.8
"45",193.95,186.62,193
"46",194.07,186.71,193.34
"47",194.12,186.6,193.49
"48",194.14,186.41,193.59
"49",194.09,186.04,193.46
"50",193.61,185.93,193.15
"51",193.79,185.37,193.18
"52",193.96,185.21,192.78
"53",193.99,185.23,192.77
"54",193.94,185.09,192.8
"55",193.88,184.86,192.86
"56",193.94,184.625,192.94
"57",194,184.61,193.11
"58",193.98,185.08,192.8
"59",193.95,185.3,193.02
"60",194.26,185.45,193.05
"61",194.57,185.11,193.23
"62",194.43,185.09,193.09
"63",194.48,185.39,193.41
"64",194.51,185.51,193.4
"65",194.42,185.62,193.02
"66",194.77,185.82,192.91
"67",194.99,185.77,192.63
"68",194.56,185.76,192.55
"69",194.14,185.59,192.66
"70",194.43,185.52,192.78
"71",194.73,185.5,192.77
"72",194.66,185.48,193.15
"73",194.535,185.16,193.27
"74",194.49,185.02,193.28
"75",194.17,184.92,193.21
"76",194.17,185.19,192.77
"77",194.29,185.04,192.66
"78",194.19,184.95,192.56
"79",194.27,185.39,192.36
"80",193.95,185.42,192.77
"81",194.06,185.4,192.9
"82",193.91,185.57,192.75
"83",194.05,185.4,192.7
"84",194.26,185.23,192.8
"85",194.37,184.92,192.87
"86",194.47,184.89,192.79
"87",194.36,184.27,192.73
"88",194,184.42,192.68
"89",193.915,184.27,192.67
"90",193.7,184.53,192.6
"91",193.81,184.66,192.72
"92",193.88,184.66,192.5
"93",193.91,184.78,192.51
"94",193.43,184.86,192.7
"95",193.58,184.86,192.67
"96",193.78,184.88,192.66
"97",193.81,185.3,192.61
"98",193.62,185.45,192.44
"99",193.65,185.39,192.6
"100",193.78,185.34,192.49
"101",193.76,185.13,192.58
"102",193.88,184.83,192.55
"103",193.91,185.06,192.69
"104",193.84,184.96,192.53
"105",193.94,184.97,192.45
"106",194,185.05,192.71
"107",193.91,185.05,192.79
"108",193.89,184.9,192.85
"109",193.88,184.9,192.98
"110",193.88,184.75,192.85
"111",194.14,184.76,192.74
"112",194.49,184.95,192.72
"113",194.17,185.08,192.69
"114",194.02,185.21,192.69
"115",193.97,185.26,191.9
"116",193.975,185.5,192.11
"117",193.75,185.57,192.06
"118",193.67,185.7,192.03
"119",193.83,185.91,192.18
"120",193.66,185.92,192.13
"121",193.61,186.06,192.32
"122",193.54,186.01,191.79
"123",193.62,186.09,191.58
"124",193.5,185.9,191.79
"125",193.48,185.84,191.83
"126",193.17,185.94,191.87
"127",193.46,185.85,191.7
"128",193.71,185.88,191.71
"129",193.53,185.69,191.83
"130",193.61,185.82,191.6
"131",193.26,185.61,191.84
"132",193.21,185.7,191.88
"133",193.15,185.63,191.83
"134",193.06,185.455,191.87
"135",193.18,185.5,191.74
"136",193.125,185.8,191.66
"137",193.12,185.47,191.47
"138",192.895,185.42,191.25
"139",193.085,185.3,191.13
"140",193.21,185.36,190.77
"141",193.13,185.06,190.73
"142",192.92,185.03,190.33
"143",192.97,185.19,190.11
"144",193.19,185.37,190.29
"145",193.29,185.36,190.47
"146",193.07,185.32,190.76
"147",193.13,185.15,190.84
"148",192.85,185.29,191
"149",192.78,184.91,190.53
"150",192.67,185,190.55
"151",192.71,185.15,190.18
"152",192.83,184.93,189.9
"153",192.97,184.72,189.36
"154",192.93,184.8,189.08
"155",192.985,184.94,189.03
"156",193.17,185.27,189.29
"157",193.3,185.27,189.6
"158",193.495,185.68,189.65
"159",193.47,185.59,189.61
"160",193.6,185.54,189.34
"161",193.72,185.76,189.09
"162",193.93,185.69,189.07
"163",193.78,185.47,189.08
"164",193.68,185.45,188.73
"165",193.67,185.4,189.41
"166",193.95,185.03,189.29
"167",193.76,185.31,189.11
"168",193.82,185.01,189.43
"169",193.78,184.75,189.6
"170",193.8,184.75,189.76
"171",193.9,184.89,189.54
"172",194.03,184.93,189.37
"173",194.1,184.85,189.16
"174",194.2,184.71,189.19
"175",194.38,184.61,189.3
"176",194.2,184.62,189.15
"177",194.3,184.67,189.16
"178",194.27,184.7,189.11
"179",194.33,184.95,189.19
"180",194.61,185,189.48
"181",194.71,184.77,189.49
"182",194.72,184.76,189.64
"183",194.72,184.51,189.86
"184",194.62,184.86,189.91
"185",194.72,184.94,190.06
"186",194.7,185.04,190.24
"187",194.825,184.92,190.02
"188",194.87,184.99,190.03
"189",194.88,185.09,190
"190",194.86,184.98,189.78
"191",194.8,184.94,189.64
"192",194.82,184.95,189.65
"193",194.85,184.87,189.8
"194",194.87,184.93,189.62
"195",194.91,184.87,189.58
"196",194.88,184.7,189.3
"197",194.71,184.43,189.38
"198",194.64,184.57,189.58
"199",194.77,184.595,189.69
"200",194.65,184.58,189.58
"201",194.64,184.52,189.83
"202",194.59,184.5,189.67
"203",194.6,184.49,189.58
"204",194.58,184.45,189.55
"205",194.64,184.4,189.51
"206",194.66,184.52,189.52
"207",194.65,184.7,189.53
"208",194.7,184.56,189.47
"209",194.615,184.58,189.17
"210",194.68,184.59,189.3
"211",194.78,184.6,189.34
"212",194.89,184.52,189
"213",194.99,184.62,189
"214",194.99,184.66,188.89
"215",195.14,184.71,188.92
"216",195.12,184.68,189.01
"217",194.94,184.66,189.07
"218",195.02,184.61,189
"219",194.91,184.66,189.03
"220",195.24,184.57,188.87
"221",195.29,184.63,188.71
"222",195.29,184.83,188.44
"223",195.21,184.75,188.68
"224",195.18,184.73,188.33
"225",195.14,184.48,188.46
"226",194.98,184.44,188.15
"227",195.15,184.53,188.24
"228",195.14,184.4,188.26
"229",195.27,184.54,188.02
"230",195.24,184.49,187.87
"231",195.23,184.81,187.87
"232",195.06,184.69,187.63
"233",195.1,184.71,187.68
"234",194.97,184.67,187.57
"235",194.96,184.68,187.555
"236",195.04,184.42,187.83
"237",195.12,184.46,187.88
"238",195.02,184.49,187.75
"239",195.11,184.47,188.02
"240",195.19,184.35,188.27
"241",195.36,184.37,188.34
"242",195.47,184.49,188.2
"243",195.6,184.65,188.11
"244",195.585,184.46,188.1
"245",195.55,184.54,188.13
"246",195.73,184.35,187.94
"247",195.81,184.37,188.2
"248",195.92,184.51,188.35
"249",195.96,184.59,188.31
"250",196.02,184.39,188.25
"251",196.34,184.52,188.13
"252",196.26,184.54,188.04
"253",196.25,184.46,187.85
"254",196.21,184.61,187.77
"255",195.77,184.57,187.61
"256",195.97,184.54,187.8
"257",196.04,184.66,187.89
"258",195.91,184.82,187.98
"259",195.74,184.67,187.88
"260",196.06,184.74,187.9
"261",196.23,184.87,187.8
"262",196.27,184.88,187.67
"263",196.48,184.9,187.82
"264",196.68,184.88,187.69
"265",196.56,184.91,187.76
"266",196.56,184.99,188.02
"267",196.625,185,188.05
"268",196.64,184.93,187.91
"269",196.58,184.75,187.9
"270",196.53,184.9,187.87
"271",196.53,185.08,188.05
"272",196.5,185.13,188.06
"273",196.56,184.95,187.85
"274",196.28,184.98,187.91
"275",196.67,185.08,187.8
"276",196.73,185.09,187.71
"277",196.37,184.95,187.69
"278",196.45,184.71,187.61
"279",196.19,184.64,187.69
"280",196.11,184.64,187.78
"281",196.32,184.66,187.89
"282",196.2,184.7,187.97
"283",195.87,184.755,187.97
"284",195.74,184.67,188.07
"285",195.85,184.66,188.13
"286",195.98,184.57,188.17
"287",195.7,184.63,188.14
"288",195.55,184.71,188.08
"289",195.64,184.91,188.08
"290",195.41,184.87,188.16
"291",195.8,184.84,188.16
"292",195.63,184.64,188.27
"293",195.5,184.63,188.28
"294",195.48,184.635,188.18
"295",195.67,184.63,188.25
"296",195.66,184.75,188.29
"297",195.59,184.72,188.21
"298",195.44,184.6,188.18
"299",195.42,184.47,188.12
"300",195.46,184.48,187.92
"301",195.46,184.53,187.75
"302",195.25,184.62,188
"303",195.4,184.68,187.92
"304",195.25,184.82,187.88
"305",194.94,184.78,187.85
"306",194.84,184.66,187.82
"307",195,184.53,187.89
"308",194.93,184.6,187.91
"309",195.31,184.63,188.14
"310",195.36,184.61,188.06
"311",195.59,184.8,188.27
"312",195.68,184.81,188.19
"313",195.81,184.96,188.17
"314",195.83,184.96,188.17
"315",195.72,184.8,188.12
"316",195.76,184.78,188.21
"317",195.77,184.83,188.13
"318",195.76,184.73,188.08
"319",195.75,184.67,188.2
"320",195.71,184.695,188.23
"321",195.56,184.73,188.24
"322",195.48,184.54,188.13
"323",195.3,184.28,188.15
"324",194.96,184.34,188.09
"325",194.78,184.16,188.08
"326",194.77,184.15,188.08
"327",194.83,183.945,188.18
"328",195.07,184.08,188.1
"329",195.13,184.09,188.05
"330",195.12,184.29,188.09
"331",194.98,184.17,188.02
"332",195.04,184.34,187.89
"333",195.11,184.32,187.98
"334",195.08,184.25,188.12
"335",194.99,184.17,188.09
"336",194.86,184.16,187.85
"337",194.32,184.24,187.67
"338",194.19,184.35,187.78
"339",194.54,184.26,187.95
"340",194.48,184.23,187.93
"341",194.39,184.32,188.05
"342",194.62,184.4,188.08
"343",194.53,184.38,188.13
"344",194.45,184.54,188.11
"345",194.35,184.48,188.01
"346",194.37,184.52,188.12
"347",194.43,184.42,188.2
"348",194.71,184.19,188.21
"349",194.94,184.23,188.28
"350",195.27,184.32,188.51
"351",195.32,184.32,188.67
"352",195.4,183.78,188.58
"353",195.49,183.61,188.66
"354",195.75,183.64,188.86
"355",195.83,183.85,188.73
"356",196.09,184.06,188.77
"357",196.02,184.1,188.71
"358",196.16,184.07,188.56
"359",196.26,184.03,188.55
"360",196.33,184.07,188.67
"361",195.89,183.98,188.78
"362",195.945,183.78,188.61
"363",196.02,183.76,188.33
"364",196.06,183.72,188.42
"365",196.08,183.66,188.43
"366",196.12,183.61,188.52
"367",195.86,183.68,188.48
"368",196.02,183.93,188.54
"369",196.12,183.89,188.66
"370",196.02,184,188.4
"371",196.12,183.82,188.41
"372",196.5,183.69,188.58
"373",196.55,183.48,188.64
"374",196.5,183.25,188.65
"375",196.44,183.29,188.71
"376",196.28,183.28,188.59
"377",196.35,183.06,188.64
"378",196.23,183.155,188.56
"379",196.3,183.14,188.53
"380",196.12,183.03,188.6
"381",195.31,183.07,188.4
"382",195.09,182.84,188.17
"383",194.78,182.6,188.13
"384",194.57,182.76,188.24
"385",194.81,182.71,188.06
"386",194.44,183,187.75
"387",194.34,183.11,187.88
"388",194.84,183.01,187.68
"389",194.2,183.19,187.57
"390",194,182.86,187.5
